"","location","days.post.fert","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm"
"211","Sag",35,"T3","O2",18.4933333333333,14.992,22.772,6,8.63739826666666,1.19981931047045,1
"212","Sag",35,"T3","O6",21.3006742857143,19.36032,23.82072,7,3.41822683222857,0.698797623700736,1
"213","Sag",40,"T1","O1",16.1014,14.824,17.967,10,1.08222182222222,0.328971400310456,1
"214","Sag",40,"T1","O2",14.5344444444444,13.815,15.536,9,0.438841527777778,0.220817050412975,1
"215","Sag",40,"T1","O4",15.5964,14.644,16.536,5,0.475384800000001,0.308345520479867,1
"216","Sag",40,"T1","O5",15.135288,14.8008,15.4644,5,0.0696414499199998,0.118018176498368,1
"217","Sag",40,"T1","O6",15.5783,15.018,16.219,10,0.172783566666667,0.131447163022511,1
"218","Sag",40,"T2","O1",19.9971066666667,16.44804,23.953,6,9.18896684138666,1.23753564537125,1
"219","Sag",40,"T2","O2",21.882504,20.70936,22.64556,5,0.56926629648,0.337421486120845,1
"220","Sag",40,"T2","O4",21.37128,18.34728,22.78164,5,3.6751888656,0.857343439422032,1
"221","Sag",40,"T2","O5",24.726072,22.83456,26.3088,5,1.73344695552,0.588803355207832,1
"222","Sag",40,"T2","O6",24.7702,23.645,25.974,5,1.0321232,0.454339784742653,1
"223","Sag",40,"T3","O1",25.30416,23.71236,26.89596,2,5.06765448,1.5918,1
"224","Sag",40,"T3","O6",24.501792,21.75516,26.44824,5,4.84999430832,0.984885202276895,1
