1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 273B200002B91D21
Is Mission Active?  true
Mission Start:  Wed Aug 02 08:00:00 AKDT 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  4391
Total Samples:  20769
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
8/2/17 8:00:00 AM,C,23.625
8/2/17 8:10:00 AM,C,21
8/2/17 8:20:00 AM,C,20.375
8/2/17 8:30:00 AM,C,20.25
8/2/17 8:40:00 AM,C,20.25
8/2/17 8:50:00 AM,C,20.375
8/2/17 9:00:00 AM,C,20.5
8/2/17 9:10:00 AM,C,20
8/2/17 9:20:00 AM,C,18.875
8/2/17 9:30:00 AM,C,18.5
8/2/17 9:40:00 AM,C,18.375
8/2/17 9:50:00 AM,C,18.375
8/2/17 10:00:00 AM,C,19.375
8/2/17 10:10:00 AM,C,19.875
8/2/17 10:20:00 AM,C,20.125
8/2/17 10:30:00 AM,C,20.375
8/2/17 10:40:00 AM,C,20.5
8/2/17 10:50:00 AM,C,20.625
8/2/17 11:00:00 AM,C,20.75
8/2/17 11:10:00 AM,C,20.75
8/2/17 11:20:00 AM,C,20.875
8/2/17 11:30:00 AM,C,21
8/2/17 11:40:00 AM,C,21
8/2/17 11:50:00 AM,C,21
8/2/17 12:00:00 PM,C,21.125
8/2/17 12:10:00 PM,C,21.125
8/2/17 12:20:00 PM,C,21
8/2/17 12:30:00 PM,C,21
8/2/17 12:40:00 PM,C,20.875
8/2/17 12:50:00 PM,C,20.875
8/2/17 1:00:00 PM,C,20.875
8/2/17 1:10:00 PM,C,20.875
8/2/17 1:20:00 PM,C,20.875
8/2/17 1:30:00 PM,C,20.875
8/2/17 1:40:00 PM,C,20.625
8/2/17 1:50:00 PM,C,20.5
8/2/17 2:00:00 PM,C,20.25
8/2/17 2:10:00 PM,C,20.375
8/2/17 2:20:00 PM,C,20.25
8/2/17 2:30:00 PM,C,20.375
8/2/17 2:40:00 PM,C,20.5
8/2/17 2:50:00 PM,C,20.625
8/2/17 3:00:00 PM,C,20.75
8/2/17 3:10:00 PM,C,20.875
8/2/17 3:20:00 PM,C,21
8/2/17 3:30:00 PM,C,21
8/2/17 3:40:00 PM,C,21
8/2/17 3:50:00 PM,C,21.125
8/2/17 4:00:00 PM,C,21.125
8/2/17 4:10:00 PM,C,21.25
8/2/17 4:20:00 PM,C,21.25
8/2/17 4:30:00 PM,C,21.25
8/2/17 4:40:00 PM,C,21.375
8/2/17 4:50:00 PM,C,21.375
8/2/17 5:00:00 PM,C,21.5
8/2/17 5:10:00 PM,C,21.5
8/2/17 5:20:00 PM,C,21.375
8/2/17 5:30:00 PM,C,21
8/2/17 5:40:00 PM,C,21
8/2/17 5:50:00 PM,C,20.75
8/2/17 6:00:00 PM,C,20.625
8/2/17 6:10:00 PM,C,20.5
8/2/17 6:20:00 PM,C,20.75
8/2/17 6:30:00 PM,C,20.875
8/2/17 6:40:00 PM,C,21
8/2/17 6:50:00 PM,C,21.125
8/2/17 7:00:00 PM,C,21.125
8/2/17 7:10:00 PM,C,21.125
8/2/17 7:20:00 PM,C,21.125
8/2/17 7:30:00 PM,C,21.25
8/2/17 7:40:00 PM,C,21.25
8/2/17 7:50:00 PM,C,21.25
8/2/17 8:00:00 PM,C,21.25
8/2/17 8:10:00 PM,C,21.375
8/2/17 8:20:00 PM,C,21.375
8/2/17 8:30:00 PM,C,21.375
8/2/17 8:40:00 PM,C,21.375
8/2/17 8:50:00 PM,C,21.375
8/2/17 9:00:00 PM,C,21.5
8/2/17 9:10:00 PM,C,21.5
8/2/17 9:20:00 PM,C,21.625
8/2/17 9:30:00 PM,C,21.625
8/2/17 9:40:00 PM,C,21.625
8/2/17 9:50:00 PM,C,21.75
8/2/17 10:00:00 PM,C,21.75
8/2/17 10:10:00 PM,C,21.875
8/2/17 10:20:00 PM,C,22
8/2/17 10:30:00 PM,C,22
8/2/17 10:40:00 PM,C,22.125
8/2/17 10:50:00 PM,C,22.125
8/2/17 11:00:00 PM,C,22.25
8/2/17 11:10:00 PM,C,22.25
8/2/17 11:20:00 PM,C,22.5
8/2/17 11:30:00 PM,C,22.5
8/2/17 11:40:00 PM,C,22.375
8/2/17 11:50:00 PM,C,22.25
8/3/17 12:00:00 AM,C,22.25
8/3/17 12:10:00 AM,C,22.125
8/3/17 12:20:00 AM,C,22
8/3/17 12:30:00 AM,C,22
8/3/17 12:40:00 AM,C,21.875
8/3/17 12:50:00 AM,C,21.875
8/3/17 1:00:00 AM,C,21.75
8/3/17 1:10:00 AM,C,21.625
8/3/17 1:20:00 AM,C,21.625
8/3/17 1:30:00 AM,C,21.5
8/3/17 1:40:00 AM,C,21.375
8/3/17 1:50:00 AM,C,21.25
8/3/17 2:00:00 AM,C,21.25
8/3/17 2:10:00 AM,C,21.125
8/3/17 2:20:00 AM,C,21
8/3/17 2:30:00 AM,C,21
8/3/17 2:40:00 AM,C,20.875
8/3/17 2:50:00 AM,C,20.75
8/3/17 3:00:00 AM,C,20.75
8/3/17 3:10:00 AM,C,20.625
8/3/17 3:20:00 AM,C,20.625
8/3/17 3:30:00 AM,C,20.5
8/3/17 3:40:00 AM,C,20.5
8/3/17 3:50:00 AM,C,20.375
8/3/17 4:00:00 AM,C,20.375
8/3/17 4:10:00 AM,C,20.375
8/3/17 4:20:00 AM,C,20.25
8/3/17 4:30:00 AM,C,20.25
8/3/17 4:40:00 AM,C,20.125
8/3/17 4:50:00 AM,C,20.125
8/3/17 5:00:00 AM,C,20.125
8/3/17 5:10:00 AM,C,20
8/3/17 5:20:00 AM,C,20
8/3/17 5:30:00 AM,C,20
8/3/17 5:40:00 AM,C,19.875
8/3/17 5:50:00 AM,C,19.875
8/3/17 6:00:00 AM,C,19.875
8/3/17 6:10:00 AM,C,19.75
8/3/17 6:20:00 AM,C,19.75
8/3/17 6:30:00 AM,C,19.75
8/3/17 6:40:00 AM,C,19.75
8/3/17 6:50:00 AM,C,19.625
8/3/17 7:00:00 AM,C,19.625
8/3/17 7:10:00 AM,C,19.625
8/3/17 7:20:00 AM,C,19.625
8/3/17 7:30:00 AM,C,19.625
8/3/17 7:40:00 AM,C,19.625
8/3/17 7:50:00 AM,C,19.625
8/3/17 8:00:00 AM,C,19.625
8/3/17 8:10:00 AM,C,19.625
8/3/17 8:20:00 AM,C,19.75
8/3/17 8:30:00 AM,C,19.75
8/3/17 8:40:00 AM,C,19.75
8/3/17 8:50:00 AM,C,19.75
8/3/17 9:00:00 AM,C,19.875
8/3/17 9:10:00 AM,C,19.875
8/3/17 9:20:00 AM,C,19.875
8/3/17 9:30:00 AM,C,20
8/3/17 9:40:00 AM,C,20
8/3/17 9:50:00 AM,C,20.125
8/3/17 10:00:00 AM,C,20.125
8/3/17 10:10:00 AM,C,20.125
8/3/17 10:20:00 AM,C,20.625
8/3/17 10:30:00 AM,C,22.375
8/3/17 10:40:00 AM,C,20.875
8/3/17 10:50:00 AM,C,20.875
8/3/17 11:00:00 AM,C,20.75
8/3/17 11:10:00 AM,C,20.75
8/3/17 11:20:00 AM,C,20.75
8/3/17 11:30:00 AM,C,20.875
8/3/17 11:40:00 AM,C,20.875
8/3/17 11:50:00 AM,C,20.875
8/3/17 12:00:00 PM,C,20.875
8/3/17 12:10:00 PM,C,20.75
8/3/17 12:20:00 PM,C,20.875
8/3/17 12:30:00 PM,C,20.875
8/3/17 12:40:00 PM,C,20.75
8/3/17 12:50:00 PM,C,20.75
8/3/17 1:00:00 PM,C,20.625
8/3/17 1:10:00 PM,C,20.625
8/3/17 1:20:00 PM,C,20.625
8/3/17 1:30:00 PM,C,20.75
8/3/17 1:40:00 PM,C,20.75
8/3/17 1:50:00 PM,C,20.75
8/3/17 2:00:00 PM,C,20.875
8/3/17 2:10:00 PM,C,20.875
8/3/17 2:20:00 PM,C,20.875
8/3/17 2:30:00 PM,C,20.875
8/3/17 2:40:00 PM,C,21
8/3/17 2:50:00 PM,C,21
8/3/17 3:00:00 PM,C,21
8/3/17 3:10:00 PM,C,21
8/3/17 3:20:00 PM,C,21.125
8/3/17 3:30:00 PM,C,21.125
8/3/17 3:40:00 PM,C,21.125
8/3/17 3:50:00 PM,C,21.125
8/3/17 4:00:00 PM,C,21.25
8/3/17 4:10:00 PM,C,21.25
8/3/17 4:20:00 PM,C,21.125
8/3/17 4:30:00 PM,C,21.25
8/3/17 4:40:00 PM,C,21.25
8/3/17 4:50:00 PM,C,21.125
8/3/17 5:00:00 PM,C,21.125
8/3/17 5:10:00 PM,C,21.125
8/3/17 5:20:00 PM,C,21.125
8/3/17 5:30:00 PM,C,21.125
8/3/17 5:40:00 PM,C,21.125
8/3/17 5:50:00 PM,C,21.125
8/3/17 6:00:00 PM,C,21.125
8/3/17 6:10:00 PM,C,21.125
8/3/17 6:20:00 PM,C,21.5
8/3/17 6:30:00 PM,C,17.5
8/3/17 6:40:00 PM,C,6.75
8/3/17 6:50:00 PM,C,6.75
8/3/17 7:00:00 PM,C,6.75
8/3/17 7:10:00 PM,C,6.75
8/3/17 7:20:00 PM,C,6.75
8/3/17 7:30:00 PM,C,6.875
8/3/17 7:40:00 PM,C,6.875
8/3/17 7:50:00 PM,C,6.875
8/3/17 8:00:00 PM,C,6.875
8/3/17 8:10:00 PM,C,6.875
8/3/17 8:20:00 PM,C,6.875
8/3/17 8:30:00 PM,C,7
8/3/17 8:40:00 PM,C,7
8/3/17 8:50:00 PM,C,7
8/3/17 9:00:00 PM,C,7
8/3/17 9:10:00 PM,C,7
8/3/17 9:20:00 PM,C,7
8/3/17 9:30:00 PM,C,7.125
8/3/17 9:40:00 PM,C,7
8/3/17 9:50:00 PM,C,7
8/3/17 10:00:00 PM,C,7
8/3/17 10:10:00 PM,C,6.875
8/3/17 10:20:00 PM,C,6.875
8/3/17 10:30:00 PM,C,6.875
8/3/17 10:40:00 PM,C,6.75
8/3/17 10:50:00 PM,C,6.75
8/3/17 11:00:00 PM,C,6.75
8/3/17 11:10:00 PM,C,6.75
8/3/17 11:20:00 PM,C,6.75
8/3/17 11:30:00 PM,C,6.75
8/3/17 11:40:00 PM,C,6.75
8/3/17 11:50:00 PM,C,6.75
8/4/17 12:00:00 AM,C,6.75
8/4/17 12:10:00 AM,C,6.875
8/4/17 12:20:00 AM,C,6.875
8/4/17 12:30:00 AM,C,6.875
8/4/17 12:40:00 AM,C,6.875
8/4/17 12:50:00 AM,C,6.875
8/4/17 1:00:00 AM,C,6.875
8/4/17 1:10:00 AM,C,6.875
8/4/17 1:20:00 AM,C,6.875
8/4/17 1:30:00 AM,C,6.875
8/4/17 1:40:00 AM,C,7
8/4/17 1:50:00 AM,C,7
8/4/17 2:00:00 AM,C,7
8/4/17 2:10:00 AM,C,7
8/4/17 2:20:00 AM,C,7
8/4/17 2:30:00 AM,C,7
8/4/17 2:40:00 AM,C,7
8/4/17 2:50:00 AM,C,7
8/4/17 3:00:00 AM,C,7
8/4/17 3:10:00 AM,C,7
8/4/17 3:20:00 AM,C,7.125
8/4/17 3:30:00 AM,C,7.125
8/4/17 3:40:00 AM,C,7.125
8/4/17 3:50:00 AM,C,7.125
8/4/17 4:00:00 AM,C,7.125
8/4/17 4:10:00 AM,C,7.125
8/4/17 4:20:00 AM,C,7.125
8/4/17 4:30:00 AM,C,7.125
8/4/17 4:40:00 AM,C,7
8/4/17 4:50:00 AM,C,7
8/4/17 5:00:00 AM,C,6.875
8/4/17 5:10:00 AM,C,6.75
8/4/17 5:20:00 AM,C,6.75
8/4/17 5:30:00 AM,C,6.75
8/4/17 5:40:00 AM,C,6.75
8/4/17 5:50:00 AM,C,6.75
8/4/17 6:00:00 AM,C,6.75
8/4/17 6:10:00 AM,C,6.875
8/4/17 6:20:00 AM,C,6.875
8/4/17 6:30:00 AM,C,6.875
8/4/17 6:40:00 AM,C,6.875
8/4/17 6:50:00 AM,C,6.875
8/4/17 7:00:00 AM,C,6.875
8/4/17 7:10:00 AM,C,6.875
8/4/17 7:20:00 AM,C,6.875
8/4/17 7:30:00 AM,C,7
8/4/17 7:40:00 AM,C,7
8/4/17 7:50:00 AM,C,7
8/4/17 8:00:00 AM,C,7
8/4/17 8:10:00 AM,C,7
8/4/17 8:20:00 AM,C,7
8/4/17 8:30:00 AM,C,7
8/4/17 8:40:00 AM,C,7
8/4/17 8:50:00 AM,C,7
8/4/17 9:00:00 AM,C,6.875
8/4/17 9:10:00 AM,C,6.875
8/4/17 9:20:00 AM,C,6.875
8/4/17 9:30:00 AM,C,6.75
8/4/17 9:40:00 AM,C,6.75
8/4/17 9:50:00 AM,C,6.75
8/4/17 10:00:00 AM,C,6.75
8/4/17 10:10:00 AM,C,6.75
8/4/17 10:20:00 AM,C,6.875
8/4/17 10:30:00 AM,C,6.875
8/4/17 10:40:00 AM,C,6.875
8/4/17 10:50:00 AM,C,6.875
8/4/17 11:00:00 AM,C,6.875
8/4/17 11:10:00 AM,C,6.875
8/4/17 11:20:00 AM,C,7
8/4/17 11:30:00 AM,C,6.875
8/4/17 11:40:00 AM,C,6.875
8/4/17 11:50:00 AM,C,6.875
8/4/17 12:00:00 PM,C,6.75
8/4/17 12:10:00 PM,C,6.75
8/4/17 12:20:00 PM,C,6.625
8/4/17 12:30:00 PM,C,6.625
8/4/17 12:40:00 PM,C,6.5
8/4/17 12:50:00 PM,C,6.375
8/4/17 1:00:00 PM,C,6.375
8/4/17 1:10:00 PM,C,6.375
8/4/17 1:20:00 PM,C,6.375
8/4/17 1:30:00 PM,C,6.5
8/4/17 1:40:00 PM,C,6.5
8/4/17 1:50:00 PM,C,6.5
8/4/17 2:00:00 PM,C,6.625
8/4/17 2:10:00 PM,C,6.625
8/4/17 2:20:00 PM,C,6.625
8/4/17 2:30:00 PM,C,6.625
8/4/17 2:40:00 PM,C,6.75
8/4/17 2:50:00 PM,C,6.75
8/4/17 3:00:00 PM,C,6.875
8/4/17 3:10:00 PM,C,6.875
8/4/17 3:20:00 PM,C,6.875
8/4/17 3:30:00 PM,C,6.875
8/4/17 3:40:00 PM,C,6.875
8/4/17 3:50:00 PM,C,6.75
8/4/17 4:00:00 PM,C,6.75
8/4/17 4:10:00 PM,C,6.625
8/4/17 4:20:00 PM,C,6.625
8/4/17 4:30:00 PM,C,6.5
8/4/17 4:40:00 PM,C,6.5
8/4/17 4:50:00 PM,C,6.375
8/4/17 5:00:00 PM,C,6.375
8/4/17 5:10:00 PM,C,6.375
8/4/17 5:20:00 PM,C,6.375
8/4/17 5:30:00 PM,C,6.375
8/4/17 5:40:00 PM,C,6.5
8/4/17 5:50:00 PM,C,6.5
8/4/17 6:00:00 PM,C,6.5
8/4/17 6:10:00 PM,C,6.625
8/4/17 6:20:00 PM,C,6.625
8/4/17 6:30:00 PM,C,6.625
8/4/17 6:40:00 PM,C,6.75
8/4/17 6:50:00 PM,C,6.75
8/4/17 7:00:00 PM,C,6.75
8/4/17 7:10:00 PM,C,6.875
8/4/17 7:20:00 PM,C,6.875
8/4/17 7:30:00 PM,C,6.875
8/4/17 7:40:00 PM,C,6.875
8/4/17 7:50:00 PM,C,6.875
8/4/17 8:00:00 PM,C,6.875
8/4/17 8:10:00 PM,C,6.75
8/4/17 8:20:00 PM,C,6.75
8/4/17 8:30:00 PM,C,6.625
8/4/17 8:40:00 PM,C,6.625
8/4/17 8:50:00 PM,C,6.5
8/4/17 9:00:00 PM,C,6.5
8/4/17 9:10:00 PM,C,6.5
8/4/17 9:20:00 PM,C,6.375
8/4/17 9:30:00 PM,C,6.375
8/4/17 9:40:00 PM,C,6.5
8/4/17 9:50:00 PM,C,6.5
8/4/17 10:00:00 PM,C,6.5
8/4/17 10:10:00 PM,C,6.625
8/4/17 10:20:00 PM,C,6.625
8/4/17 10:30:00 PM,C,6.625
8/4/17 10:40:00 PM,C,6.625
8/4/17 10:50:00 PM,C,6.625
8/4/17 11:00:00 PM,C,6.75
8/4/17 11:10:00 PM,C,6.75
8/4/17 11:20:00 PM,C,6.75
8/4/17 11:30:00 PM,C,6.75
8/4/17 11:40:00 PM,C,6.75
8/4/17 11:50:00 PM,C,6.75
8/5/17 12:00:00 AM,C,6.75
8/5/17 12:10:00 AM,C,6.75
8/5/17 12:20:00 AM,C,6.875
8/5/17 12:30:00 AM,C,6.875
8/5/17 12:40:00 AM,C,6.875
8/5/17 12:50:00 AM,C,6.875
8/5/17 1:00:00 AM,C,6.875
8/5/17 1:10:00 AM,C,6.875
8/5/17 1:20:00 AM,C,6.875
8/5/17 1:30:00 AM,C,6.875
8/5/17 1:40:00 AM,C,6.875
8/5/17 1:50:00 AM,C,6.875
8/5/17 2:00:00 AM,C,7
8/5/17 2:10:00 AM,C,7
8/5/17 2:20:00 AM,C,7
8/5/17 2:30:00 AM,C,7
8/5/17 2:40:00 AM,C,7
8/5/17 2:50:00 AM,C,7
8/5/17 3:00:00 AM,C,7
8/5/17 3:10:00 AM,C,7
8/5/17 3:20:00 AM,C,7
8/5/17 3:30:00 AM,C,7
8/5/17 3:40:00 AM,C,7
8/5/17 3:50:00 AM,C,7
8/5/17 4:00:00 AM,C,7
8/5/17 4:10:00 AM,C,7
8/5/17 4:20:00 AM,C,7
8/5/17 4:30:00 AM,C,7
8/5/17 4:40:00 AM,C,7.125
8/5/17 4:50:00 AM,C,7.125
8/5/17 5:00:00 AM,C,7.125
8/5/17 5:10:00 AM,C,7.125
8/5/17 5:20:00 AM,C,7.125
8/5/17 5:30:00 AM,C,7.125
8/5/17 5:40:00 AM,C,7.125
8/5/17 5:50:00 AM,C,7.125
8/5/17 6:00:00 AM,C,7.125
8/5/17 6:10:00 AM,C,7.125
8/5/17 6:20:00 AM,C,7.125
8/5/17 6:30:00 AM,C,7
8/5/17 6:40:00 AM,C,7
8/5/17 6:50:00 AM,C,6.875
8/5/17 7:00:00 AM,C,6.875
8/5/17 7:10:00 AM,C,6.75
8/5/17 7:20:00 AM,C,6.75
8/5/17 7:30:00 AM,C,6.625
8/5/17 7:40:00 AM,C,6.625
8/5/17 7:50:00 AM,C,6.625
8/5/17 8:00:00 AM,C,6.75
8/5/17 8:10:00 AM,C,6.75
8/5/17 8:20:00 AM,C,6.75
8/5/17 8:30:00 AM,C,6.75
8/5/17 8:40:00 AM,C,6.75
8/5/17 8:50:00 AM,C,6.875
8/5/17 9:00:00 AM,C,6.875
8/5/17 9:10:00 AM,C,6.875
8/5/17 9:20:00 AM,C,6.875
8/5/17 9:30:00 AM,C,6.875
8/5/17 9:40:00 AM,C,6.875
8/5/17 9:50:00 AM,C,6.875
8/5/17 10:00:00 AM,C,6.875
8/5/17 10:10:00 AM,C,6.75
8/5/17 10:20:00 AM,C,6.75
8/5/17 10:30:00 AM,C,6.75
8/5/17 10:40:00 AM,C,6.75
8/5/17 10:50:00 AM,C,6.75
8/5/17 11:00:00 AM,C,6.75
8/5/17 11:10:00 AM,C,6.75
8/5/17 11:20:00 AM,C,6.875
8/5/17 11:30:00 AM,C,6.875
8/5/17 11:40:00 AM,C,6.875
8/5/17 11:50:00 AM,C,6.875
8/5/17 12:00:00 PM,C,6.75
8/5/17 12:10:00 PM,C,6.75
8/5/17 12:20:00 PM,C,6.75
8/5/17 12:30:00 PM,C,6.75
8/5/17 12:40:00 PM,C,6.75
8/5/17 12:50:00 PM,C,6.75
8/5/17 1:00:00 PM,C,6.875
8/5/17 1:10:00 PM,C,6.875
8/5/17 1:20:00 PM,C,6.875
8/5/17 1:30:00 PM,C,6.875
8/5/17 1:40:00 PM,C,6.875
8/5/17 1:50:00 PM,C,6.875
8/5/17 2:00:00 PM,C,6.875
8/5/17 2:10:00 PM,C,6.875
8/5/17 2:20:00 PM,C,6.75
8/5/17 2:30:00 PM,C,6.75
8/5/17 2:40:00 PM,C,6.75
8/5/17 2:50:00 PM,C,6.625
8/5/17 3:00:00 PM,C,6.625
8/5/17 3:10:00 PM,C,6.625
8/5/17 3:20:00 PM,C,6.75
8/5/17 3:30:00 PM,C,6.75
8/5/17 3:40:00 PM,C,6.75
8/5/17 3:50:00 PM,C,6.75
8/5/17 4:00:00 PM,C,6.75
8/5/17 4:10:00 PM,C,6.875
8/5/17 4:20:00 PM,C,6.875
8/5/17 4:30:00 PM,C,6.875
8/5/17 4:40:00 PM,C,6.875
8/5/17 4:50:00 PM,C,6.875
8/5/17 5:00:00 PM,C,6.875
8/5/17 5:10:00 PM,C,6.875
8/5/17 5:20:00 PM,C,6.75
8/5/17 5:30:00 PM,C,6.75
8/5/17 5:40:00 PM,C,6.75
8/5/17 5:50:00 PM,C,6.625
8/5/17 6:00:00 PM,C,6.5
8/5/17 6:10:00 PM,C,6.5
8/5/17 6:20:00 PM,C,6.375
8/5/17 6:30:00 PM,C,6.375
8/5/17 6:40:00 PM,C,6.375
8/5/17 6:50:00 PM,C,6.375
8/5/17 7:00:00 PM,C,6.5
8/5/17 7:10:00 PM,C,6.5
8/5/17 7:20:00 PM,C,6.5
8/5/17 7:30:00 PM,C,6.625
8/5/17 7:40:00 PM,C,6.625
8/5/17 7:50:00 PM,C,6.625
8/5/17 8:00:00 PM,C,6.75
8/5/17 8:10:00 PM,C,6.75
8/5/17 8:20:00 PM,C,6.75
8/5/17 8:30:00 PM,C,6.75
8/5/17 8:40:00 PM,C,6.875
8/5/17 8:50:00 PM,C,6.875
8/5/17 9:00:00 PM,C,6.875
8/5/17 9:10:00 PM,C,6.875
8/5/17 9:20:00 PM,C,6.875
8/5/17 9:30:00 PM,C,7
8/5/17 9:40:00 PM,C,7.125
8/5/17 9:50:00 PM,C,7.125
8/5/17 10:00:00 PM,C,7.125
8/5/17 10:10:00 PM,C,7
8/5/17 10:20:00 PM,C,7
8/5/17 10:30:00 PM,C,6.875
8/5/17 10:40:00 PM,C,6.875
8/5/17 10:50:00 PM,C,6.75
8/5/17 11:00:00 PM,C,6.625
8/5/17 11:10:00 PM,C,6.625
8/5/17 11:20:00 PM,C,6.625
8/5/17 11:30:00 PM,C,6.625
8/5/17 11:40:00 PM,C,6.625
8/5/17 11:50:00 PM,C,6.625
8/6/17 12:00:00 AM,C,6.625
8/6/17 12:10:00 AM,C,6.75
8/6/17 12:20:00 AM,C,6.75
8/6/17 12:30:00 AM,C,6.75
8/6/17 12:40:00 AM,C,6.75
8/6/17 12:50:00 AM,C,6.875
8/6/17 1:00:00 AM,C,6.875
8/6/17 1:10:00 AM,C,6.875
8/6/17 1:20:00 AM,C,6.875
8/6/17 1:30:00 AM,C,6.875
8/6/17 1:40:00 AM,C,7
8/6/17 1:50:00 AM,C,7
8/6/17 2:00:00 AM,C,7
8/6/17 2:10:00 AM,C,7
8/6/17 2:20:00 AM,C,7
8/6/17 2:30:00 AM,C,7
8/6/17 2:40:00 AM,C,7.125
8/6/17 2:50:00 AM,C,7.125
8/6/17 3:00:00 AM,C,7.125
8/6/17 3:10:00 AM,C,7
8/6/17 3:20:00 AM,C,7
8/6/17 3:30:00 AM,C,7
8/6/17 3:40:00 AM,C,6.875
8/6/17 3:50:00 AM,C,6.875
8/6/17 4:00:00 AM,C,6.75
8/6/17 4:10:00 AM,C,6.75
8/6/17 4:20:00 AM,C,6.75
8/6/17 4:30:00 AM,C,6.75
8/6/17 4:40:00 AM,C,6.75
8/6/17 4:50:00 AM,C,6.75
8/6/17 5:00:00 AM,C,6.75
8/6/17 5:10:00 AM,C,6.875
8/6/17 5:20:00 AM,C,6.875
8/6/17 5:30:00 AM,C,6.875
8/6/17 5:40:00 AM,C,6.875
8/6/17 5:50:00 AM,C,6.875
8/6/17 6:00:00 AM,C,6.875
8/6/17 6:10:00 AM,C,6.875
8/6/17 6:20:00 AM,C,6.875
8/6/17 6:30:00 AM,C,7
8/6/17 6:40:00 AM,C,7
8/6/17 6:50:00 AM,C,7
8/6/17 7:00:00 AM,C,7
8/6/17 7:10:00 AM,C,7
8/6/17 7:20:00 AM,C,7
8/6/17 7:30:00 AM,C,7.125
8/6/17 7:40:00 AM,C,7.125
8/6/17 7:50:00 AM,C,7
8/6/17 8:00:00 AM,C,7
8/6/17 8:10:00 AM,C,7
8/6/17 8:20:00 AM,C,6.875
8/6/17 8:30:00 AM,C,6.875
8/6/17 8:40:00 AM,C,6.75
8/6/17 8:50:00 AM,C,6.75
8/6/17 9:00:00 AM,C,6.625
8/6/17 9:10:00 AM,C,6.625
8/6/17 9:20:00 AM,C,6.625
8/6/17 9:30:00 AM,C,6.625
8/6/17 9:40:00 AM,C,6.625
8/6/17 9:50:00 AM,C,6.75
8/6/17 10:00:00 AM,C,6.75
8/6/17 10:10:00 AM,C,6.75
8/6/17 10:20:00 AM,C,6.75
8/6/17 10:30:00 AM,C,6.875
8/6/17 10:40:00 AM,C,6.875
8/6/17 10:50:00 AM,C,6.875
8/6/17 11:00:00 AM,C,6.875
8/6/17 11:10:00 AM,C,6.875
8/6/17 11:20:00 AM,C,7
8/6/17 11:30:00 AM,C,7
8/6/17 11:40:00 AM,C,7
8/6/17 11:50:00 AM,C,7
8/6/17 12:00:00 PM,C,6.875
8/6/17 12:10:00 PM,C,6.875
8/6/17 12:20:00 PM,C,6.75
8/6/17 12:30:00 PM,C,6.75
8/6/17 12:40:00 PM,C,6.625
8/6/17 12:50:00 PM,C,6.625
8/6/17 1:00:00 PM,C,6.5
8/6/17 1:10:00 PM,C,6.5
8/6/17 1:20:00 PM,C,6.5
8/6/17 1:30:00 PM,C,6.5
8/6/17 1:40:00 PM,C,6.5
8/6/17 1:50:00 PM,C,6.5
8/6/17 2:00:00 PM,C,6.5
8/6/17 2:10:00 PM,C,6.625
8/6/17 2:20:00 PM,C,6.625
8/6/17 2:30:00 PM,C,6.625
8/6/17 2:40:00 PM,C,6.75
8/6/17 2:50:00 PM,C,6.75
8/6/17 3:00:00 PM,C,6.875
8/6/17 3:10:00 PM,C,6.875
8/6/17 3:20:00 PM,C,6.875
8/6/17 3:30:00 PM,C,6.75
8/6/17 3:40:00 PM,C,6.75
8/6/17 3:50:00 PM,C,6.75
8/6/17 4:00:00 PM,C,6.625
8/6/17 4:10:00 PM,C,6.625
8/6/17 4:20:00 PM,C,6.5
8/6/17 4:30:00 PM,C,6.5
8/6/17 4:40:00 PM,C,6.5
8/6/17 4:50:00 PM,C,7.5
8/6/17 5:00:00 PM,C,7.375
8/6/17 5:10:00 PM,C,7.25
8/6/17 5:20:00 PM,C,7.25
8/6/17 5:30:00 PM,C,7.125
8/6/17 5:40:00 PM,C,7
8/6/17 5:50:00 PM,C,6.875
8/6/17 6:00:00 PM,C,6.75
8/6/17 6:10:00 PM,C,6.75
8/6/17 6:20:00 PM,C,6.625
8/6/17 6:30:00 PM,C,6.625
8/6/17 6:40:00 PM,C,6.625
8/6/17 6:50:00 PM,C,6.625
8/6/17 7:00:00 PM,C,6.625
8/6/17 7:10:00 PM,C,6.625
8/6/17 7:20:00 PM,C,6.625
8/6/17 7:30:00 PM,C,6.75
8/6/17 7:40:00 PM,C,6.75
8/6/17 7:50:00 PM,C,6.75
8/6/17 8:00:00 PM,C,6.75
8/6/17 8:10:00 PM,C,6.75
8/6/17 8:20:00 PM,C,6.75
8/6/17 8:30:00 PM,C,6.75
8/6/17 8:40:00 PM,C,6.875
8/6/17 8:50:00 PM,C,6.875
8/6/17 9:00:00 PM,C,6.875
8/6/17 9:10:00 PM,C,6.875
8/6/17 9:20:00 PM,C,6.875
8/6/17 9:30:00 PM,C,7
8/6/17 9:40:00 PM,C,7
8/6/17 9:50:00 PM,C,7
8/6/17 10:00:00 PM,C,7
8/6/17 10:10:00 PM,C,7
8/6/17 10:20:00 PM,C,6.875
8/6/17 10:30:00 PM,C,6.875
8/6/17 10:40:00 PM,C,6.75
